iter	MultiClass
0	0.9720744247
1	0.7600829729
2	0.633119014
3	0.5583151259
4	0.502495861
5	0.4612543607
6	0.4399664953
7	0.4151008228
8	0.3932868929
9	0.3792151239
10	0.3654450531
11	0.359116678
12	0.3521187964
13	0.3418262422
14	0.3322560626
15	0.3270323578
16	0.3219758129
17	0.3165532163
18	0.3082811737
19	0.3008287318
20	0.2987894254
21	0.2974491832
22	0.292867486
23	0.2913227753
24	0.2897732942
25	0.284458848
26	0.2820636326
27	0.2794463077
28	0.2782381538
29	0.2769750248
30	0.2727541058
31	0.2714039083
32	0.2700258273
33	0.2675891765
34	0.2628347412
35	0.2608073072
36	0.2552407201
37	0.2532806268
38	0.2501353481
39	0.2443174394
40	0.242751698
41	0.2389168613
42	0.2372958151
43	0.234679666
44	0.2325305368
45	0.2289164089
46	0.2270645964
47	0.2260484215
48	0.2250133264
49	0.2245055702
50	0.2236980239
51	0.2222110301
52	0.2211033692
53	0.2191892265
54	0.2178199784
55	0.2164170143
56	0.2160755437
57	0.215232305
58	0.2147733695
59	0.2119243773
60	0.2105057989
61	0.2100294676
62	0.2095035225
63	0.2088170871
64	0.2083393342
65	0.2075537829
66	0.2061792933
67	0.2056893454
68	0.2045070478
69	0.2038853418
70	0.2030350433
71	0.202325914
72	0.2017870027
73	0.2005602284
74	0.1989666825
75	0.1974381085
76	0.1947766135
77	0.1927239737
78	0.1920128554
79	0.1914919554
80	0.1890105285
81	0.1870636947
82	0.1867027958
83	0.1853197728
84	0.1846250113
85	0.1838281607
86	0.1833243652
87	0.1827044474
88	0.1821591608
89	0.1813199282
90	0.17893934
91	0.1777180689
92	0.1770823094
93	0.1759398486
94	0.1754853059
95	0.173928129
96	0.1730718766
97	0.1722402967
98	0.1716877923
99	0.1712225745
100	0.1708519908
101	0.1697742427
102	0.1692299097
103	0.1689028717
104	0.1675788408
105	0.1664134432
106	0.1660528249
107	0.1651921545
108	0.1643940828
109	0.1639348002
110	0.1635434379
111	0.1631956972
112	0.1627204558
113	0.1616017667
114	0.1611612188
115	0.1604692229
116	0.1600522551
117	0.1597294695
118	0.1585529755
119	0.1576934298
120	0.1573170716
121	0.1562326355
122	0.1558955592
123	0.1550232787
124	0.1538974573
125	0.1534088664
126	0.1530460267
127	0.1526814039
128	0.1521990325
129	0.1518547212
130	0.1513554447
131	0.151023912
132	0.1500315382
133	0.149674977
134	0.1491613277
135	0.1489067541
136	0.1482183921
137	0.1479815923
138	0.1464423832
139	0.1460832341
140	0.1451944237
141	0.1444808309
142	0.1432557364
143	0.1425086092
144	0.1414775964
145	0.1407446563
146	0.1400273527
147	0.1394855606
148	0.1386724378
149	0.138227358
150	0.1379216789
151	0.1371654383
152	0.1362494727
153	0.1356796438
154	0.1351345586
155	0.1346316681
156	0.1340657923
157	0.1335945888
158	0.1333262454
159	0.1324943895
160	0.1322834802
161	0.1319409318
162	0.1312202095
163	0.1306143861
164	0.1301213632
165	0.1297536566
166	0.129349696
167	0.1290195014
168	0.1284120137
169	0.1281572318
170	0.1277777883
171	0.1272913164
172	0.1269857946
173	0.1264903626
174	0.1261227819
175	0.1257343375
176	0.1254246593
177	0.1252895175
178	0.1249663048
179	0.1241942805
180	0.1239307236
181	0.1232081701
182	0.1229452682
183	0.1224936888
184	0.1222540353
185	0.1218609242
186	0.1213833063
187	0.1209647809
188	0.1206459418
189	0.120349134
190	0.1200854994
191	0.1198764631
192	0.1195334303
193	0.1192858682
194	0.1189854661
195	0.1184525596
196	0.1181803823
197	0.1177461828
198	0.1171119978
199	0.1162875185
